model_a,model_b,rmse_a,rmse_b,delta_rmse,dm_statistic,p_value,n,lags,verdict
persistence,lightgbm,0.6589475910971982,0.6909310049424314,-0.03198341384523318,-2.549678061566371,0.010782243469468877,2613,8,distinguishable
persistence,lstm,0.6589475910971982,0.6690483049243553,-0.010100713827157048,-1.7590613619721658,0.07856708671416035,2613,8,not distinguishable
persistence,chronos,0.6589475910971982,0.6515050800066404,0.007442511090557824,0.8711602100845252,0.38366668234889545,2613,8,not distinguishable
lightgbm,lstm,0.6909310049424314,0.6690483049243553,0.02188270001807613,1.7323730554622372,0.08320716219987756,2613,8,not distinguishable
lightgbm,chronos,0.6909310049424314,0.6515050800066404,0.039425924935791,2.9591310668045425,0.0030850785824865223,2613,8,distinguishable
lstm,chronos,0.6690483049243553,0.6515050800066404,0.017543224917714872,1.9842544478157378,0.04722748151114642,2613,8,distinguishable
