model,mae,rmse,r2,mape,n,fit_seconds,predict_seconds,p_vs_persistence
persistence,0.44480175774443254,0.6589475910971982,0.946120627492528,6.45342015181115,2613,0.0,0.002,
lstm,0.4797814037441249,0.6899395887035913,0.9409332659525638,6.823042653151366,2613,60.889,0.821,2.7310608330388675e-07
lightgbm,0.48365065553663067,0.6909310049424314,0.9407633972905771,7.9803189074796705,2613,2.375,0.048,0.010782243469468877
