model_a,model_b,rmse_a,rmse_b,delta_rmse,dm_statistic,p_value,n,lags,verdict
persistence,lightgbm,4.0116036598109535,3.4368390069737753,0.5747646528371781,3.4798250618266153,0.0005017412867829307,2613,8,distinguishable
persistence,lstm,4.0116036598109535,3.2290215797619912,0.7825820800489622,7.583959444399132,3.352873534367973e-14,2613,8,distinguishable
persistence,chronos,4.0116036598109535,1.7828670059144467,2.2287366538965068,11.763600030255684,0.0,2613,8,distinguishable
lightgbm,lstm,3.4368390069737753,3.2290215797619912,0.2078174272117841,1.6994576355426187,0.08923299031135934,2613,8,not distinguishable
lightgbm,chronos,3.4368390069737753,1.7828670059144467,1.6539720010593286,9.733622642239615,0.0,2613,8,distinguishable
lstm,chronos,3.2290215797619912,1.7828670059144467,1.4461545738475445,9.368820476017504,0.0,2613,8,distinguishable
