model_a,model_b,rmse_a,rmse_b,delta_rmse,dm_statistic,p_value,n,lags,verdict
persistence,lightgbm,2.2656293983147,2.456401123674666,-0.19077172535996612,-1.7895275608368497,0.07352989294051904,2613,8,not distinguishable
persistence,lstm,2.2656293983147,2.1202609364768863,0.1453684618378137,3.009244685488071,0.0026189809780476914,2613,8,distinguishable
persistence,chronos,2.2656293983147,1.1392133160424105,1.1264160822722895,8.103025501450688,4.440892098500626e-16,2613,8,distinguishable
lightgbm,lstm,2.456401123674666,2.1202609364768863,0.3361401871977798,3.966501674334039,7.293526350427015e-05,2613,8,distinguishable
lightgbm,chronos,2.456401123674666,1.1392133160424105,1.3171878076322556,9.28507480629134,0.0,2613,8,distinguishable
lstm,chronos,2.1202609364768863,1.1392133160424105,0.9810476204344758,7.759291574189332,8.43769498715119e-15,2613,8,distinguishable
